,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_mean_global,0.3,0.012,0.277,0.323,0.0,0.0,18400.0,9031.0,1.0
alpha_sig_global,0.046,0.01,0.03,0.064,0.0,0.0,18631.0,8731.0,1.0
alpha_subject[0],0.251,0.001,0.249,0.253,0.0,0.0,26992.0,9107.0,1.0
alpha_subject[1],0.282,0.001,0.28,0.284,0.0,0.0,26666.0,9027.0,1.0
alpha_subject[2],0.364,0.001,0.362,0.366,0.0,0.0,26975.0,7809.0,1.0
alpha_subject[3],0.31,0.001,0.308,0.312,0.0,0.0,26632.0,9035.0,1.0
alpha_subject[4],0.346,0.001,0.344,0.348,0.0,0.0,24993.0,8721.0,1.0
alpha_subject[5],0.329,0.001,0.327,0.331,0.0,0.0,26069.0,8851.0,1.0
alpha_subject[6],0.268,0.001,0.266,0.27,0.0,0.0,25753.0,9526.0,1.0
alpha_subject[7],0.327,0.001,0.325,0.329,0.0,0.0,23834.0,8885.0,1.0
alpha_subject[8],0.284,0.001,0.282,0.286,0.0,0.0,24787.0,9621.0,1.0
alpha_subject[9],0.284,0.001,0.282,0.286,0.0,0.0,25452.0,8471.0,1.0
alpha_subject[10],0.305,0.001,0.303,0.307,0.0,0.0,27639.0,8977.0,1.0
alpha_subject[11],0.224,0.001,0.222,0.226,0.0,0.0,26631.0,9331.0,1.0
alpha_subject[12],0.36,0.001,0.358,0.361,0.0,0.0,25597.0,8837.0,1.0
alpha_subject[13],0.266,0.001,0.265,0.268,0.0,0.0,26925.0,8997.0,1.0
